GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-women-of-reproductive-age-number-%28in-thousands%29,2008,2008,2008,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,211.4,211.4 [77.7-394.3],77.7,394.3
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-adults-bmi--30-%28age-standardized-estimate%29-%28-%29,1990,1990,1990,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,8.4321789,8.4 [6.6-10.5],6.6457413,10.469381
NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-adults-bmi--30-%28crude-estimate%29-%28-%29,2016,2016,2016,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,10.912923,10.9 [9.1-12.8],9.1345221,12.812914
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-adults-bmi--30-%28age-standardized-estimate%29-%28-%29,2007,2007,2007,EUR,Europe,CHE,Switzerland,SEX,SEX_BTSX,Both sexes,11.669863,11.7 [10.6-12.8],10.552248,12.822986
LBW_PREVALENCE,Low birth weight prevalence (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/low-birth-weight-prevalence-%28-%29,2005,2005,2005,EUR,Europe,CHE,Switzerland,,,,6.3,6.3 [6.2-6.4],6.2,6.4
NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-thinness-among-children-and-adolescents-bmi--2-standard-deviations-below-the-median-%28crude-estimate%29-%28-%29,2000,2000,2000,EUR,Europe,CHE,Switzerland,SEX,SEX_MLE,Male,1.2142342,1.2 [0.8-1.7],0.82183555,1.7007092
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2009,2009,2009,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,15.8,15.8 [6.5-25.7],6.5,25.7
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-children-under-5-years-number,2001,2001,2001,EUR,Europe,CHE,Switzerland,SEVERITY,SEVERITY_SEVERE,Severe,0.39,0.39 [0.01-2.27],0.01,2.27
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-adults-bmi--30-%28age-standardized-estimate%29-%28-%29,2013,2013,2013,EUR,Europe,CHE,Switzerland,SEX,SEX_BTSX,Both sexes,11.801005,11.8 [10.8-12.9],10.752103,12.890646
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-women-of-reproductive-age-number-%28in-thousands%29,2015,2015,2015,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,8.2,8.2 [3.3-13.7],3.3,13.7
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-children-under-5-years-number,2013,2013,2013,EUR,Europe,CHE,Switzerland,SEVERITY,SEVERITY_SEVERE,Severe,0.17,0.17 [0.01-0.9],0.01,0.9
NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-thinness-among-children-and-adolescents-bmi--2-standard-deviations-below-the-median-%28crude-estimate%29-%28-%29,1995,1995,1995,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,1.3649154,1.4 [0.7-2.3],0.71871905,2.3176361
NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-thinness-among-children-and-adolescents-bmi--2-standard-deviations-below-the-median-%28crude-estimate%29-%28-%29,1991,1991,1991,EUR,Europe,CHE,Switzerland,SEX,SEX_MLE,Male,1.167849,1.2 [0.6-1.9],0.61323894,1.9468499
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-children-and-adolescents-bmi-2-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2001,2001,2001,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,4.3391265,4.3 [3.1-5.8],3.1019162,5.8465362
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-children-and-adolescents-bmi-2-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2016,2016,2016,EUR,Europe,CHE,Switzerland,SEX,SEX_MLE,Male,7.0894577,7.1 [6.2-8.0],6.2400397,7.9934813
NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-thinness-among-children-and-adolescents-bmi--2-standard-deviations-below-the-median-%28crude-estimate%29-%28-%29,2005,2005,2005,EUR,Europe,CHE,Switzerland,SEX,SEX_BTSX,Both sexes,1.4712442,1.5 [1.2-1.8],1.2021979,1.7787583
NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-thinness-among-children-and-adolescents-bmi--2-standard-deviations-below-the-median-%28crude-estimate%29-%28-%29,2019,2019,2019,EUR,Europe,CHE,Switzerland,SEX,SEX_MLE,Male,1.7956112,1.8 [1.4-2.2],1.4487104,2.1953922
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-children-and-adolescents-bmi-2-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,1997,1997,1997,EUR,Europe,CHE,Switzerland,SEX,SEX_BTSX,Both sexes,5.1293831,5.1 [3.7-6.9],3.7148032,6.8627633
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-children-under-5-years-number,2010,2010,2010,EUR,Europe,CHE,Switzerland,SEVERITY,SEVERITY_MODERATE,Moderate,7.78,7.78 [1.87-22],1.87,22.0
NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-overweight-among-children-and-adolescents-bmi-1-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2011,2011,2011,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,22.427541,22.4 [20.6-24.4],20.561045,24.403085
NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-thinness-among-children-and-adolescents-bmi--2-standard-deviations-below-the-median-%28crude-estimate%29-%28-%29,2002,2002,2002,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,1.3480497,1.3 [0.9-2.0],0.86693857,1.9605581
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2013,2013,2013,EUR,Europe,CHE,Switzerland,SEX,SEX_BTSX,Both sexes,11.8,11.8 [5.7-26.4],5.7,26.4
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-women-of-reproductive-age-number-%28in-thousands%29,2014,2014,2014,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,248.5,248.5 [96.7-452.8],96.7,452.8
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-underweight-among-adults-bmi-18-%28crude-estimate%29-%28-%29,2016,2016,2016,EUR,Europe,CHE,Switzerland,SEX,SEX_MLE,Male,0.57011712,0.6 [0.4-0.8],0.40469854,0.78862486
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-women-of-reproductive-age-number-%28in-thousands%29,2015,2015,2015,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,254.8,254.8 [100.3-461.6],100.3,461.6
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-children-and-adolescents-bmi-2-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2003,2003,2003,EUR,Europe,CHE,Switzerland,SEX,SEX_MLE,Male,5.6219365,5.6 [4.6-6.7],4.6202172,6.7272462
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-children-and-adolescents-bmi-2-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2016,2016,2016,EUR,Europe,CHE,Switzerland,SEX,SEX_MLE,Male,6.8083681,6.8 [5.9-7.8],5.872298,7.8012273
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-children-and-adolescents-bmi-2-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2002,2002,2002,EUR,Europe,CHE,Switzerland,SEX,SEX_MLE,Male,5.3550493,5.4 [4.3-6.6],4.2637601,6.6030815
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-overweight-among-adults-bmi-greaterequal-25-%28crude-estimate%29-%28-%29,2014,2014,2014,EUR,Europe,CHE,Switzerland,SEX,SEX_BTSX,Both sexes,45.194992,45.2 [43.5-46.9],43.464062,46.947607
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-women-of-reproductive-age-number-%28in-thousands%29,2016,2016,2016,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,253.4,253.4 [97.1-463.7],97.1,463.7
PRETERMBIRTH_RATE,Preterm birth rate (per 100 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/preterm-birth-rate-per-100-live-births,2014,2014,2014,EUR,Europe,CHE,Switzerland,,,,7.16155,7.2 [7.0-7.3],6.99685,7.32681
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-overweight-among-adults-bmi-greaterequal-25-%28crude-estimate%29-%28-%29,2010,2010,2010,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,34.256908,34.3 [31.7-37.0],31.678283,36.981133
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-children-under-5-years-number,2006,2006,2006,EUR,Europe,CHE,Switzerland,SEVERITY,SEVERITY_TOTAL,Total,40.3,40.3 [20.7-88.7],20.7,88.7
NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-overweight-among-children-and-adolescents-bmi-1-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2002,2002,2002,EUR,Europe,CHE,Switzerland,SEX,SEX_BTSX,Both sexes,23.358314,23.4 [21.6-25.2],21.570855,25.20031
LBW_PREVALENCE,Low birth weight prevalence (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/low-birth-weight-prevalence-%28-%29,2004,2004,2004,EUR,Europe,CHE,Switzerland,,,,6.3,6.3 [6.2-6.4],6.2,6.4
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-underweight-among-adults-bmi-18-%28crude-estimate%29-%28-%29,2022,2022,2022,EUR,Europe,CHE,Switzerland,SEX,SEX_MLE,Male,0.52796355,0.5 [0.3-0.9],0.29612936,0.86436449
NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-underweight-among-adults-bmi-18-%28age-standardized-estimate%29-%28-%29,1995,1995,1995,EUR,Europe,CHE,Switzerland,SEX,SEX_BTSX,Both sexes,3.6076467,3.6 [2.6-4.8],2.6213672,4.7747441
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2013,2013,2013,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,12.6,12.6 [4.7-23.1],4.7,23.1
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-children-and-adolescents-bmi-2-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2019,2019,2019,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,6.3638002,6.4 [5.0-7.9],4.9523216,7.9369046
LBW_PREVALENCE,Low birth weight prevalence (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/low-birth-weight-prevalence-%28-%29,2012,2012,2012,EUR,Europe,CHE,Switzerland,,,,6.4,6.4 [6.3-6.5],6.3,6.5
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-overweight-among-adults-bmi-greaterequal-25-%28crude-estimate%29-%28-%29,2015,2015,2015,EUR,Europe,CHE,Switzerland,SEX,SEX_BTSX,Both sexes,45.115757,45.1 [43.3-46.9],43.323562,46.926144
NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-thinness-among-children-and-adolescents-bmi--2-standard-deviations-below-the-median-%28crude-estimate%29-%28-%29,2002,2002,2002,EUR,Europe,CHE,Switzerland,SEX,SEX_BTSX,Both sexes,1.3642613,1.4 [1.1-1.7],1.0757913,1.705157
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-children-and-adolescents-bmi-2-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2000,2000,2000,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,5.9390191,5.9 [4.0-8.3],4.0309589,8.3350636
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-children-and-adolescents-bmi-2-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,1997,1997,1997,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,5.0512135,5.1 [3.2-7.5],3.1514268,7.5202011
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-children-and-adolescents-bmi-2-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2001,2001,2001,EUR,Europe,CHE,Switzerland,SEX,SEX_BTSX,Both sexes,5.33484,5.3 [4.3-6.5],4.3385632,6.5005057
NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-thinness-among-children-and-adolescents-bmi--2-standard-deviations-below-the-median-%28crude-estimate%29-%28-%29,1996,1996,1996,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,1.2863396,1.3 [0.7-2.1],0.70503857,2.1048924
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2023,2023,2023,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,15.1,15.1 [4.4-30.6],4.4,30.6
NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-thinness-among-children-and-adolescents-bmi--2-standard-deviations-below-the-median-%28crude-estimate%29-%28-%29,2006,2006,2006,EUR,Europe,CHE,Switzerland,SEX,SEX_MLE,Male,1.2651327,1.3 [1.0-1.6],0.9817332,1.5879842
NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-overweight-among-children-and-adolescents-bmi-1-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2001,2001,2001,EUR,Europe,CHE,Switzerland,SEX,SEX_MLE,Male,19.047597,19.0 [16.8-21.4],16.801535,21.428522
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-children-and-adolescents-bmi-2-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2000,2000,2000,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,4.2657871,4.3 [3.0-5.9],2.9517755,5.9112824
NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-underweight-among-adults-bmi-18-%28age-standardized-estimate%29-%28-%29,2003,2003,2003,EUR,Europe,CHE,Switzerland,SEX,SEX_MLE,Male,1.4087148,1.4 [1.0-1.9],1.0241926,1.9072756
NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-underweight-among-adults-bmi-18-%28age-standardized-estimate%29-%28-%29,2000,2000,2000,EUR,Europe,CHE,Switzerland,SEX,SEX_MLE,Male,1.5403832,1.5 [1.1-2.1],1.0926594,2.1329885
NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-overweight-among-adults-bmi--25-%28age-standardized-estimate%29-%28-%29,2001,2001,2001,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,31.390792,31.4 [28.2-34.6],28.219107,34.588805
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-adults-bmi--30-%28age-standardized-estimate%29-%28-%29,1996,1996,1996,EUR,Europe,CHE,Switzerland,SEX,SEX_MLE,Male,11.108994,11.1 [9.4-12.9],9.3924992,12.924449
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-children-and-adolescents-bmi-2-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2018,2018,2018,EUR,Europe,CHE,Switzerland,SEX,SEX_BTSX,Both sexes,6.0151637,6.0 [5.3-6.8],5.333361,6.7705512
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-children-and-adolescents-bmi-2-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2013,2013,2013,EUR,Europe,CHE,Switzerland,SEX,SEX_BTSX,Both sexes,6.5719478,6.6 [5.9-7.4],5.8667466,7.3559284
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-underweight-among-adults-bmi-18-%28crude-estimate%29-%28-%29,2017,2017,2017,EUR,Europe,CHE,Switzerland,SEX,SEX_BTSX,Both sexes,2.6070368,2.6 [1.9-3.5],1.9012032,3.4801371
