GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
AIR_52,"Household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/household-air-pollution-attributable-death-rate-%28per-100-000-population-age-standardized%29,2019,2019,2019,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,0.0,0 [0-0],0.0,0.0
PHE_HHAIR_POP_POLLUTING_FUELS,Population with primary reliance on polluting fuels and technologies for cooking (in millions),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-with-primary-reliance-on-polluting-fuels-and-technologies-for-cooking-%28in-millions%29,2005,2005,2005,EUR,Europe,CHE,Switzerland,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,0.0,0 [0 - 0],0.0,0.0
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mortality-rate-attributed-to-unintentional-poisoning-%28per-100-000-population%29,2005,2005,2005,EUR,Europe,CHE,Switzerland,SEX,SEX_BTSX,Both sexes,0.108313601,0.1 [0.1-0.1],0.088270135,0.128437816
AIR_90,"Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-dalys-%28per-100-000-population-age-standardized%29,2018,2018,2018,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,9.026,9 [3-17],3.136,17.101
AIR_62,"Household and ambient air pollution attributable DALYs (per 100 000 capita, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-dalys-per-100000population,2010,2010,2010,EUR,Europe,CHE,Switzerland,SEX,SEX_BTSX,Both sexes,32.715,33 [16-56],16.398,55.99
AIR_90,"Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-dalys-%28per-100-000-population-age-standardized%29,2013,2013,2013,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,32.931,33 [14-57],13.818,57.03
AIR_11,Household air pollution attributable deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/household-air-pollution-attributable-deaths,2016,2016,2016,EUR,Europe,CHE,Switzerland,SEX,SEX_MLE,Male,0.0,0 [0-0],0.0,0.0
AIR_62,"Household and ambient air pollution attributable DALYs (per 100 000 capita, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-dalys-per-100000population,2016,2016,2016,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,16.54,17 [8-29],7.832,29.385
AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-death-rate-%28per-100-000-population-age-standardized%29,2017,2017,2017,EUR,Europe,CHE,Switzerland,SEX,SEX_MLE,Male,1.489,1 [1-3],0.585,2.713
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-phe-population-with-primary-reliance-on-clean-fuels-and-technologies-in-millions,2004,2004,2004,EUR,Europe,CHE,Switzerland,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,7.384194,7.38 [7.38 - 7.38],7.384194,7.384194
AIR_90,"Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-dalys-%28per-100-000-population-age-standardized%29,2017,2017,2017,EUR,Europe,CHE,Switzerland,SEX,SEX_BTSX,Both sexes,27.471,27 [6-67],5.503,67.338
AIR_52,"Household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/household-air-pollution-attributable-death-rate-%28per-100-000-population-age-standardized%29,2010,2010,2010,EUR,Europe,CHE,Switzerland,SEX,SEX_MLE,Male,0.0,0 [0-0],0.0,0.0
AIR_41,Ambient air pollution attributable deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-deaths,2017,2017,2017,EUR,Europe,CHE,Switzerland,SEX,SEX_MLE,Male,90.368,90 [31-172],31.409,172.233
AIR_15,Household air pollution attributable DALYs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/household-air-pollution-attributable-dalys,2010,2010,2010,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,0.0,0 [0-0],0.0,0.0
AIR_60,Household and ambient air pollution attributable DALYs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-dalys,2013,2013,2013,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,1052.266,1052 [407-1889],406.776,1888.753
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mortality-rate-attributed-to-unintentional-poisoning-%28per-100-000-population%29,2019,2019,2019,EUR,Europe,CHE,Switzerland,SEX,SEX_BTSX,Both sexes,0.096517342,0.1 [0.1-0.1],0.080130995,0.114512824
PHE_HHAIR_PROP_POP_POLLUTING_FUELS,Proportion of population with primary reliance on polluting fuels and technologies for cooking (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-phe-population-with-primary-reliance-on-polluting-fuels-and-technologies-for-cooking-proportion,2003,2003,2003,EUR,Europe,CHE,Switzerland,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,0.0,0 [0 - 0],0.0,0.0
AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-death-rate-%28per-100-000-population-age-standardized%29,2018,2018,2018,EUR,Europe,CHE,Switzerland,SEX,SEX_BTSX,Both sexes,11.532,12 [8-15],7.871,14.937
AIR_11,Household air pollution attributable deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/household-air-pollution-attributable-deaths,2011,2011,2011,EUR,Europe,CHE,Switzerland,SEX,SEX_MLE,Male,0.0,0 [0-0],0.0,0.0
AIR_39,"Household air pollution attributable DALYs (per 100 000, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/household-air-pollution-attributable-dalys-%28per-100-000-age-standardized%29,2017,2017,2017,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,0.0,0 [0-0],0.0,0.0
AIR_39,"Household air pollution attributable DALYs (per 100 000, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/household-air-pollution-attributable-dalys-%28per-100-000-age-standardized%29,2018,2018,2018,EUR,Europe,CHE,Switzerland,SEX,SEX_BTSX,Both sexes,0.0,0 [0-0],0.0,0.0
PHE_HHAIR_POP_POLLUTING_FUELS,Population with primary reliance on polluting fuels and technologies for cooking (in millions),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-with-primary-reliance-on-polluting-fuels-and-technologies-for-cooking-%28in-millions%29,2018,2018,2018,EUR,Europe,CHE,Switzerland,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,0.0,0 [0 - 0],0.0,0.0
AIR_35,Joint effects of air pollution attributable deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-and-household-air-pollution-attributable-deaths,2016,2016,2016,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,1267.572,1268 [861-1650],860.584,1650.433
AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-death-rate-%28per-100-000-population-age-standardized%29,2013,2013,2013,EUR,Europe,CHE,Switzerland,SEX,SEX_MLE,Male,0.918,1 [0-2],0.355,1.648
AIR_11,Household air pollution attributable deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/household-air-pollution-attributable-deaths,2012,2012,2012,EUR,Europe,CHE,Switzerland,SEX,SEX_BTSX,Both sexes,0.0,0 [0-0],0.0,0.0
AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-death-rate-%28per-100-000-population-age-standardized%29,2015,2015,2015,EUR,Europe,CHE,Switzerland,SEX,SEX_MLE,Male,1.383,1 [1-2],0.668,2.437
AIR_60,Household and ambient air pollution attributable DALYs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-dalys,2013,2013,2013,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,1387.805,1388 [680-2419],679.584,2419.396
AIR_41,Ambient air pollution attributable deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-deaths,2013,2013,2013,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,108.488,108 [25-260],24.845,260.356
AIR_41,Ambient air pollution attributable deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-deaths,2014,2014,2014,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,899.404,899 [519-1217],518.721,1217.222
AIR_90,"Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-dalys-%28per-100-000-population-age-standardized%29,2014,2014,2014,EUR,Europe,CHE,Switzerland,SEX,SEX_BTSX,Both sexes,30.115,30 [12-54],12.061,53.603
AIR_60,Household and ambient air pollution attributable DALYs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-dalys,2019,2019,2019,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,0.0,0 [0-0],0.0,0.0
AIR_41,Ambient air pollution attributable deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-deaths,2010,2010,2010,EUR,Europe,CHE,Switzerland,SEX,SEX_MLE,Male,141.164,141 [35-327],34.801,327.256
AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-death-rate-%28per-100-000-population-age-standardized%29,2010,2010,2010,EUR,Europe,CHE,Switzerland,SEX,SEX_BTSX,Both sexes,1.313,1 [0-3],0.324,3.045
AIR_35,Joint effects of air pollution attributable deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-and-household-air-pollution-attributable-deaths,2010,2010,2010,EUR,Europe,CHE,Switzerland,SEX,SEX_MLE,Male,73.509,74 [31-126],30.765,125.733
AIR_7,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mbd-aap-ambient-air-pollution-attributable-dalys,2014,2014,2014,EUR,Europe,CHE,Switzerland,SEX,SEX_MLE,Male,2090.362,2090 [1004-3699],1004.178,3699.281
AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-death-rate-%28per-100-000-population-age-standardized%29,2010,2010,2010,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,0.943,1 [0-2],0.232,2.187
AIR_11,Household air pollution attributable deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/household-air-pollution-attributable-deaths,2017,2017,2017,EUR,Europe,CHE,Switzerland,SEX,SEX_MLE,Male,0.0,0 [0-0],0.0,0.0
AIR_11,Household air pollution attributable deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/household-air-pollution-attributable-deaths,2014,2014,2014,EUR,Europe,CHE,Switzerland,SEX,SEX_MLE,Male,0.0,0 [0-0],0.0,0.0
AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-death-rate-%28per-100-000-population-age-standardized%29,2018,2018,2018,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,0.836,1 [0-2],0.171,2.053
AIR_39,"Household air pollution attributable DALYs (per 100 000, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/household-air-pollution-attributable-dalys-%28per-100-000-age-standardized%29,2016,2016,2016,EUR,Europe,CHE,Switzerland,SEX,SEX_BTSX,Both sexes,0.0,0 [0-0],0.0,0.0
AIR_60,Household and ambient air pollution attributable DALYs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-dalys,2010,2010,2010,EUR,Europe,CHE,Switzerland,SEX,SEX_BTSX,Both sexes,4228.414,4228 [2119-7237],2119.367,7236.667
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-phe-population-with-primary-reliance-on-clean-fuels-and-technologies-in-millions,2003,2003,2003,EUR,Europe,CHE,Switzerland,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,1.948750334,1.95 [1.95 - 1.95],1.948750334,1.948750334
AIR_11,Household air pollution attributable deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/household-air-pollution-attributable-deaths,2013,2013,2013,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,0.0,0 [0-0],0.0,0.0
AIR_52,"Household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/household-air-pollution-attributable-death-rate-%28per-100-000-population-age-standardized%29,2018,2018,2018,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,0.0,0 [0-0],0.0,0.0
AIR_39,"Household air pollution attributable DALYs (per 100 000, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/household-air-pollution-attributable-dalys-%28per-100-000-age-standardized%29,2019,2019,2019,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,0.0,0 [0-0],0.0,0.0
AIR_52,"Household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/household-air-pollution-attributable-death-rate-%28per-100-000-population-age-standardized%29,2015,2015,2015,EUR,Europe,CHE,Switzerland,SEX,SEX_BTSX,Both sexes,0.0,0 [0-0],0.0,0.0
AIR_35,Joint effects of air pollution attributable deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-and-household-air-pollution-attributable-deaths,2017,2017,2017,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,105.266,105 [21-258],21.086,258.038
AIR_11,Household air pollution attributable deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/household-air-pollution-attributable-deaths,2018,2018,2018,EUR,Europe,CHE,Switzerland,SEX,SEX_BTSX,Both sexes,0.0,0 [0-0],0.0,0.0
AIR_39,"Household air pollution attributable DALYs (per 100 000, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/household-air-pollution-attributable-dalys-%28per-100-000-age-standardized%29,2014,2014,2014,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,0.0,0 [0-0],0.0,0.0
AIR_11,Household air pollution attributable deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/household-air-pollution-attributable-deaths,2011,2011,2011,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,0.0,0 [0-0],0.0,0.0
AIR_15,Household air pollution attributable DALYs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/household-air-pollution-attributable-dalys,2016,2016,2016,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,0.0,0 [0-0],0.0,0.0
AIR_52,"Household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/household-air-pollution-attributable-death-rate-%28per-100-000-population-age-standardized%29,2019,2019,2019,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,0.0,0 [0-0],0.0,0.0
AIR_52,"Household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/household-air-pollution-attributable-death-rate-%28per-100-000-population-age-standardized%29,2013,2013,2013,EUR,Europe,CHE,Switzerland,SEX,SEX_MLE,Male,0.0,0 [0-0],0.0,0.0
AIR_35,Joint effects of air pollution attributable deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-and-household-air-pollution-attributable-deaths,2010,2010,2010,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,109.739,110 [27-254],27.054,254.406
AIR_11,Household air pollution attributable deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/household-air-pollution-attributable-deaths,2011,2011,2011,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,0.0,0 [0-0],0.0,0.0
AIR_15,Household air pollution attributable DALYs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/household-air-pollution-attributable-dalys,2017,2017,2017,EUR,Europe,CHE,Switzerland,SEX,SEX_MLE,Male,0.0,0 [0-0],0.0,0.0
AIR_7,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mbd-aap-ambient-air-pollution-attributable-dalys,2019,2019,2019,EUR,Europe,CHE,Switzerland,SEX,SEX_BTSX,Both sexes,1982.607,1983 [627-3949],627.125,3949.063
PHE_HHAIR_PROP_POP_POLLUTING_FUELS,Proportion of population with primary reliance on polluting fuels and technologies for cooking (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-phe-population-with-primary-reliance-on-polluting-fuels-and-technologies-for-cooking-proportion,1995,1995,1995,EUR,Europe,CHE,Switzerland,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,0.0,0 [0 - 0],0.0,0.0
AIR_90,"Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-dalys-%28per-100-000-population-age-standardized%29,2019,2019,2019,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,63.632,64 [36-88],35.676,87.977
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mortality-rate-attributed-to-exposure-to-unsafe-wash-services-%28per-100-000-population%29-%28sdg-3-9-2%29,2019,2019,2019,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,2.8,2.8,,
AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-death-rate-%28per-100-000-population-age-standardized%29,2018,2018,2018,EUR,Europe,CHE,Switzerland,SEX,SEX_MLE,Male,9.508,10 [5-13],5.468,12.94
AIR_15,Household air pollution attributable DALYs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/household-air-pollution-attributable-dalys,2015,2015,2015,EUR,Europe,CHE,Switzerland,SEX,SEX_BTSX,Both sexes,0.0,0 [0-0],0.0,0.0
AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-death-rate-%28per-100-000-population-age-standardized%29,2013,2013,2013,EUR,Europe,CHE,Switzerland,SEX,SEX_MLE,Male,1.481,1 [1-3],0.725,2.582
AIR_11,Household air pollution attributable deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/household-air-pollution-attributable-deaths,2017,2017,2017,EUR,Europe,CHE,Switzerland,SEX,SEX_BTSX,Both sexes,0.0,0 [0-0],0.0,0.0
AIR_62,"Household and ambient air pollution attributable DALYs (per 100 000 capita, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-dalys-per-100000population,2018,2018,2018,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,15.243,15 [7-27],7.196,27.11
AIR_62,"Household and ambient air pollution attributable DALYs (per 100 000 capita, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-dalys-per-100000population,2013,2013,2013,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,26.676,27 [6-64],6.109,64.019
AIR_90,"Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-dalys-%28per-100-000-population-age-standardized%29,2019,2019,2019,EUR,Europe,CHE,Switzerland,SEX,SEX_BTSX,Both sexes,106.906,107 [60-148],59.937,147.806
AIR_60,Household and ambient air pollution attributable DALYs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-dalys,2010,2010,2010,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,921.526,922 [386-1576],385.675,1576.218
AIR_7,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mbd-aap-ambient-air-pollution-attributable-dalys,2015,2015,2015,EUR,Europe,CHE,Switzerland,SEX,SEX_BTSX,Both sexes,40550.128,40 550 [27 975-53 534],27975.049,53534.044
AIR_62,"Household and ambient air pollution attributable DALYs (per 100 000 capita, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-dalys-per-100000population,2015,2015,2015,EUR,Europe,CHE,Switzerland,SEX,SEX_BTSX,Both sexes,13.357,13 [5-24],5.0,24.469
AIR_52,"Household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/household-air-pollution-attributable-death-rate-%28per-100-000-population-age-standardized%29,2011,2011,2011,EUR,Europe,CHE,Switzerland,SEX,SEX_BTSX,Both sexes,0.0,0 [0-0],0.0,0.0
AIR_52,"Household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/household-air-pollution-attributable-death-rate-%28per-100-000-population-age-standardized%29,2018,2018,2018,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,0.0,0 [0-0],0.0,0.0
AIR_39,"Household air pollution attributable DALYs (per 100 000, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/household-air-pollution-attributable-dalys-%28per-100-000-age-standardized%29,2014,2014,2014,EUR,Europe,CHE,Switzerland,SEX,SEX_MLE,Male,0.0,0 [0-0],0.0,0.0
AIR_35,Joint effects of air pollution attributable deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-and-household-air-pollution-attributable-deaths,2012,2012,2012,EUR,Europe,CHE,Switzerland,SEX,SEX_MLE,Male,1009.301,1009 [597-1350],596.598,1350.351
AIR_35,Joint effects of air pollution attributable deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-and-household-air-pollution-attributable-deaths,2019,2019,2019,EUR,Europe,CHE,Switzerland,SEX,SEX_BTSX,Both sexes,306.874,307 [112-563],112.225,563.388
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-phe-population-with-primary-reliance-on-clean-fuels-and-technologies-in-millions,2006,2006,2006,EUR,Europe,CHE,Switzerland,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,1.981504147,1.98 [1.98 - 1.98],1.981504147,1.981504147
AIR_41,Ambient air pollution attributable deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-deaths,2019,2019,2019,EUR,Europe,CHE,Switzerland,SEX,SEX_FMLE,Female,99.714,100 [32-199],31.541,198.616
PHE_HHAIR_PROP_POP_POLLUTING_FUELS,Proportion of population with primary reliance on polluting fuels and technologies for cooking (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-phe-population-with-primary-reliance-on-polluting-fuels-and-technologies-for-cooking-proportion,2012,2012,2012,EUR,Europe,CHE,Switzerland,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,0.0,0 [0 - 0],0.0,0.0
AIR_7,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mbd-aap-ambient-air-pollution-attributable-dalys,2016,2016,2016,EUR,Europe,CHE,Switzerland,SEX,SEX_MLE,Male,2514.746,2515 [509-6152],509.247,6152.315
